CRE;SECTION;CANDIDATURE;GENRE;EFFECTIF
Tunis 1;lettres;Public;M;74
Tunis 1;lettres;Public;F;383
Tunis 1;lettres;Privé;M;9
Tunis 1;lettres;Privé;F;14
Tunis 1;lettres;Libre;M;
Tunis 1;lettres;Libre;F;6
Tunis 1;mathématiques;Public;M;233
Tunis 1;mathématiques;Public;F;223
Tunis 1;mathématiques;Privé;M;23
Tunis 1;mathématiques;Privé;F;7
Tunis 1;mathématiques;Libre;M;1
Tunis 1;mathématiques;Libre;F;1
Tunis 1;sciences expérimentales;Public;M;171
Tunis 1;sciences expérimentales;Public;F;528
Tunis 1;sciences expérimentales;Privé;M;15
Tunis 1;sciences expérimentales;Privé;F;31
Tunis 1;sciences expérimentales;Libre;M;
Tunis 1;sciences expérimentales;Libre;F;
Tunis 1;économie&gestion;Public;M;514
Tunis 1;économie&gestion;Public;F;776
Tunis 1;économie&gestion;Privé;M;51
Tunis 1;économie&gestion;Privé;F;44
Tunis 1;économie&gestion;Libre;M;8
Tunis 1;économie&gestion;Libre;F;6
Tunis 1;sciences techniques;Public;M;150
Tunis 1;sciences techniques;Public;F;117
Tunis 1;sciences techniques;Privé;M;4
Tunis 1;sciences techniques;Privé;F;3
Tunis 1;sciences techniques;Libre;M;
Tunis 1;sciences techniques;Libre;F;1
Tunis 1;sciences de l'informatique;Public;M;272
Tunis 1;sciences de l'informatique;Public;F;114
Tunis 1;sciences de l'informatique;Privé;M;9
Tunis 1;sciences de l'informatique;Privé;F;
Tunis 1;sciences de l'informatique;Libre;M;
Tunis 1;sciences de l'informatique;Libre;F;
Tunis 1;sport;Public;M;67
Tunis 1;sport;Public;F;52
Tunis 2;lettres;Public;M;38
Tunis 2;lettres;Public;F;225
Tunis 2;lettres;Privé;M;5
Tunis 2;lettres;Privé;F;8
Tunis 2;lettres;Libre;M;2
Tunis 2;lettres;Libre;F;1
Tunis 2;mathématiques;Public;M;168
Tunis 2;mathématiques;Public;F;159
Tunis 2;mathématiques;Privé;M;1
Tunis 2;mathématiques;Privé;F;5
Tunis 2;mathématiques;Libre;M;
Tunis 2;mathématiques;Libre;F;
Tunis 2;sciences expérimentales;Public;M;138
Tunis 2;sciences expérimentales;Public;F;446
Tunis 2;sciences expérimentales;Privé;M;2
Tunis 2;sciences expérimentales;Privé;F;8
Tunis 2;sciences expérimentales;Libre;M;
Tunis 2;sciences expérimentales;Libre;F;3
Tunis 2;économie&gestion;Public;M;400
Tunis 2;économie&gestion;Public;F;748
Tunis 2;économie&gestion;Privé;M;52
Tunis 2;économie&gestion;Privé;F;42
Tunis 2;économie&gestion;Libre;M;6
Tunis 2;économie&gestion;Libre;F;10
Tunis 2;sciences techniques;Public;M;277
Tunis 2;sciences techniques;Public;F;152
Tunis 2;sciences techniques;Privé;M;10
Tunis 2;sciences techniques;Privé;F;4
Tunis 2;sciences techniques;Libre;M;
Tunis 2;sciences techniques;Libre;F;1
Tunis 2;sciences de l'informatique;Public;M;257
Tunis 2;sciences de l'informatique;Public;F;189
Tunis 2;sciences de l'informatique;Privé;M;20
Tunis 2;sciences de l'informatique;Privé;F;2
Tunis 2;sciences de l'informatique;Libre;M;
Tunis 2;sciences de l'informatique;Libre;F;
Tunis 2;sport;Public;M;17
Tunis 2;sport;Public;F;14
Ariana;lettres;Public;M;64
Ariana;lettres;Public;F;363
Ariana;lettres;Privé;M;3
Ariana;lettres;Privé;F;4
Ariana;lettres;Libre;M;
Ariana;lettres;Libre;F;2
Ariana;mathématiques;Public;M;249
Ariana;mathématiques;Public;F;219
Ariana;mathématiques;Privé;F;1
Ariana;mathématiques;Libre;M;
Ariana;mathématiques;Libre;F;1
Ariana;sciences expérimentales;Public;M;159
Ariana;sciences expérimentales;Public;F;573
Ariana;sciences expérimentales;Privé;M;4
Ariana;sciences expérimentales;Privé;F;12
Ariana;sciences expérimentales;Libre;M;
Ariana;sciences expérimentales;Libre;F;2
Ariana;économie&gestion;Public;M;411
Ariana;économie&gestion;Public;F;801
Ariana;économie&gestion;Privé;M;75
Ariana;économie&gestion;Privé;F;36
Ariana;économie&gestion;Libre;M;6
Ariana;économie&gestion;Libre;F;6
Ariana;sciences techniques;Public;M;221
Ariana;sciences techniques;Public;F;115
Ariana;sciences techniques;Privé;M;5
Ariana;sciences techniques;Privé;F;2
Ariana;sciences techniques;Libre;M;
