CRE;SECTION;CANDIDATURE;GENRE;EFFECTIF
Tunis 1;lettres;Public;M;141
Tunis 1;lettres;Public;F;596
Tunis 1;lettres;Privé;M;48
Tunis 1;lettres;Privé;F;98
Tunis 1;lettres;Libre;M;8
Tunis 1;lettres;Libre;F;54
Tunis 1;mathématiques;Public;M;280
Tunis 1;mathématiques;Public;F;269
Tunis 1;mathématiques;Privé;M;24
Tunis 1;mathématiques;Privé;F;7
Tunis 1;mathématiques;Libre;M;7
Tunis 1;mathématiques;Libre;F;19
Tunis 1;sciences expérimentales;Public;M;272
Tunis 1;sciences expérimentales;Public;F;911
Tunis 1;sciences expérimentales;Privé;M;54
Tunis 1;sciences expérimentales;Privé;F;101
Tunis 1;sciences expérimentales;Libre;M;13
Tunis 1;sciences expérimentales;Libre;F;63
Tunis 1;économie&gestion;Public;M;817
Tunis 1;économie&gestion;Public;F;1208
Tunis 1;économie&gestion;Privé;M;466
Tunis 1;économie&gestion;Privé;F;326
Tunis 1;économie&gestion;Libre;M;53
Tunis 1;économie&gestion;Libre;F;58
Tunis 1;sciences techniques;Public;M;238
Tunis 1;sciences techniques;Public;F;177
Tunis 1;sciences techniques;Privé;M;28
Tunis 1;sciences techniques;Privé;F;12
Tunis 1;sciences techniques;Libre;M;10
Tunis 1;sciences techniques;Libre;F;14
Tunis 1;sciences de l'informatique;Public;M;470
Tunis 1;sciences de l'informatique;Public;F;203
Tunis 1;sciences de l'informatique;Privé;M;108
Tunis 1;sciences de l'informatique;Privé;F;32
Tunis 1;sciences de l'informatique;Libre;M;12
Tunis 1;sciences de l'informatique;Libre;F;10
Tunis 1;sport;Public;M;78
Tunis 1;sport;Public;F;54
Tunis 2;lettres;Public;M;101
Tunis 2;lettres;Public;F;399
Tunis 2;lettres;Privé;M;28
Tunis 2;lettres;Privé;F;59
Tunis 2;lettres;Libre;M;19
Tunis 2;lettres;Libre;F;44
Tunis 2;mathématiques;Public;M;214
Tunis 2;mathématiques;Public;F;202
Tunis 2;mathématiques;Privé;M;7
Tunis 2;mathématiques;Privé;F;8
Tunis 2;mathématiques;Libre;M;8
Tunis 2;mathématiques;Libre;F;6
Tunis 2;sciences expérimentales;Public;M;213
Tunis 2;sciences expérimentales;Public;F;793
Tunis 2;sciences expérimentales;Privé;M;91
Tunis 2;sciences expérimentales;Privé;F;130
Tunis 2;sciences expérimentales;Libre;M;15
Tunis 2;sciences expérimentales;Libre;F;60
Tunis 2;économie&gestion;Public;M;695
Tunis 2;économie&gestion;Public;F;1168
Tunis 2;économie&gestion;Privé;M;328
Tunis 2;économie&gestion;Privé;F;242
Tunis 2;économie&gestion;Libre;M;44
Tunis 2;économie&gestion;Libre;F;59
Tunis 2;sciences techniques;Public;M;413
Tunis 2;sciences techniques;Public;F;246
